2020-01-05 08:45:07,509,509,evaluate data pipeline  INFO data pipeline 1
2020-01-05 08:45:08,461,461,evaluate data pipeline  INFO F1-score process irrelevant 0.0
2020-01-05 08:45:08,461,461,evaluate data pipeline  INFO F1-score process classify 0.8333333333333334
2020-01-05 08:45:08,461,461,evaluate data pipeline  INFO data pipeline 2
2020-01-05 08:45:08,910,910,evaluate data pipeline  INFO F1-score process irrelevant 0.4000000000000001
2020-01-05 08:45:08,910,910,evaluate data pipeline  INFO F1-score process classify 1.0
2020-01-05 08:45:08,911,911,evaluate data pipeline  INFO data pipeline chosen data pipeline 2
2020-01-05 08:45:11,669,669,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '9c340011d0bd1a504d5f9f3af6666179', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 0, '_primary_term': 1}
2020-01-05 08:45:11,980,980,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '9836aa96ef59973ac1d8cce83900e5e3', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1, '_primary_term': 1}
2020-01-05 08:45:12,444,444,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '5d97d89fa58cee362acaf987fbb70c19', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 2, '_primary_term': 1}
2020-01-05 08:45:12,723,723,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '39a0577ce173ccb951a9f11536c50908', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 3, '_primary_term': 1}
2020-01-05 08:45:12,878,878,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '9949ac47c44e615a3c3bf104e65c0538', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 4, '_primary_term': 1}
2020-01-05 08:45:13,059,59,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'b0f55a22a373afa35a7fc457ad0fdeed', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 5, '_primary_term': 1}
2020-01-05 08:45:13,291,291,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '0cb5cbaa3173f7dac66eb4856ffca2f3', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 6, '_primary_term': 1}
2020-01-05 08:45:13,440,440,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '3aa5acfb479bc81fa062f1b5986c18ee', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 7, '_primary_term': 1}
